figure	expected	measured	status	command
src_files	30	30	OK	find <tree@077dbe2c>/crates/cobre-cli/src <tree@077dbe2c>/crates/cobre-python/src <tree@077dbe2c>/crates/cobre/src -name '*.rs' | wc -l
src_lines	16493	16493	OK	find <tree@077dbe2c>/crates/cobre-cli/src <tree@077dbe2c>/crates/cobre-python/src <tree@077dbe2c>/crates/cobre/src -name '*.rs' -print0 | xargs -0 cat | wc -l
src_nontest_lines	11759	11759	OK	python3 -c 'import sys; sys.path.insert(0, "/home/rjalves/git/cobre/plans/architecture-debt-audit/tools"); from lib import station_checks as sc; t = sc.Tree("077dbe2c287b92c2d0c6a12d5f67c2c0cb83c39c"); print(sum(sc.classify_lines(f, t.read_text(f))[0] for r in ("crates/cobre-cli/src", "crates/cobre-python/src", "crates/cobre/src") for f in t.rs_files(r)))'
s6a_files	8	8	OK	ls <tree@077dbe2c>/crates/cobre-cli/src/commands/broadcast.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/mod.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/outputs.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/policy.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/setup.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/simulation.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/training.rs <tree@077dbe2c>/crates/cobre-python/src/run.rs  | wc -l
s6a_lines	6149	6149	OK	cat <tree@077dbe2c>/crates/cobre-cli/src/commands/broadcast.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/mod.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/outputs.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/policy.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/setup.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/simulation.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/run/training.rs <tree@077dbe2c>/crates/cobre-python/src/run.rs  | wc -l
s6b_files	11	11	OK	ls <tree@077dbe2c>/crates/cobre-cli/src/banner.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/init.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/mod.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/schema.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/validate.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/version.rs <tree@077dbe2c>/crates/cobre-cli/src/error.rs <tree@077dbe2c>/crates/cobre-cli/src/main.rs <tree@077dbe2c>/crates/cobre-cli/src/progress.rs <tree@077dbe2c>/crates/cobre-cli/src/summary.rs <tree@077dbe2c>/crates/cobre-cli/src/templates.rs  | wc -l
s6b_lines	5652	5652	OK	cat <tree@077dbe2c>/crates/cobre-cli/src/banner.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/init.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/mod.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/schema.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/validate.rs <tree@077dbe2c>/crates/cobre-cli/src/commands/version.rs <tree@077dbe2c>/crates/cobre-cli/src/error.rs <tree@077dbe2c>/crates/cobre-cli/src/main.rs <tree@077dbe2c>/crates/cobre-cli/src/progress.rs <tree@077dbe2c>/crates/cobre-cli/src/summary.rs <tree@077dbe2c>/crates/cobre-cli/src/templates.rs  | wc -l
s6c_files	11	11	OK	ls <tree@077dbe2c>/crates/cobre-python/src/convert.rs <tree@077dbe2c>/crates/cobre-python/src/errors.rs <tree@077dbe2c>/crates/cobre-python/src/io.rs <tree@077dbe2c>/crates/cobre-python/src/lib.rs <tree@077dbe2c>/crates/cobre-python/src/model.rs <tree@077dbe2c>/crates/cobre-python/src/policy.rs <tree@077dbe2c>/crates/cobre-python/src/results.rs <tree@077dbe2c>/crates/cobre-python/src/schema.rs <tree@077dbe2c>/crates/cobre-python/src/study.rs <tree@077dbe2c>/crates/cobre-python/src/version.rs <tree@077dbe2c>/crates/cobre/src/lib.rs  | wc -l
s6c_lines	4692	4692	OK	cat <tree@077dbe2c>/crates/cobre-python/src/convert.rs <tree@077dbe2c>/crates/cobre-python/src/errors.rs <tree@077dbe2c>/crates/cobre-python/src/io.rs <tree@077dbe2c>/crates/cobre-python/src/lib.rs <tree@077dbe2c>/crates/cobre-python/src/model.rs <tree@077dbe2c>/crates/cobre-python/src/policy.rs <tree@077dbe2c>/crates/cobre-python/src/results.rs <tree@077dbe2c>/crates/cobre-python/src/schema.rs <tree@077dbe2c>/crates/cobre-python/src/study.rs <tree@077dbe2c>/crates/cobre-python/src/version.rs <tree@077dbe2c>/crates/cobre/src/lib.rs  | wc -l
sddp_refs	97	97	OK	grep -rho 'cobre_sddp::' <tree@077dbe2c>/crates/cobre-cli/src | wc -l
sddp_ref_files	10	10	OK	grep -rl 'cobre_sddp::' <tree@077dbe2c>/crates/cobre-cli/src | wc -l
sddp_use_lines	70	70	OK	grep -rh '^use cobre_sddp' <tree@077dbe2c>/crates/cobre-cli/src | wc -l
cli_writer_calls	39	39	OK	grep -rho 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-cli/src/commands/run | wc -l
cli_write_line_calls	16	16	OK	grep -rho 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-cli/src/commands/run | grep -c 'write_line('
py_writer_calls	23	23	OK	grep -o 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-python/src/run.rs | wc -l
py_if_any_helpers	5	5	OK	grep -o 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-python/src/run.rs | grep -c '_if_any('
py_distinct_write_names	23	23	OK	grep -o 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-python/src/run.rs | sort -u | wc -l
cli_external_writer_names	17	17	OK	grep -rho 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-cli/src/commands/run | tr -d '(' | sort -u | grep -Evx 'write_line|write_sim_outputs_on_root|write_simulation_outputs|write_training_outputs' | wc -l
py_external_writer_names	17	17	OK	grep -o 'write_[a-z_0-9]*(' <tree@077dbe2c>/crates/cobre-python/src/run.rs | tr -d '(' | sort -u | grep -Evx 'write_evaporation_models_if_any|write_fixed_delivery_if_any|write_fpha_deviation_points_if_any|write_fpha_hyperplanes_if_any|write_generic_constraint_echo_if_any|write_training_artifacts' | wc -l
parity_shared_names	18	18	OK	python3 <tree@077dbe2c>/scripts/ci/check_python_parity.py --max 0 --root <tree@077dbe2c> | grep -oE '[0-9]+ write functions' | cut -d' ' -f1
parity_exit	0	0	OK	python3 <tree@077dbe2c>/scripts/ci/check_python_parity.py --max 0 --root <tree@077dbe2c> >/dev/null 2>&1; echo $?
parity_floor	18	18	OK	awk '/"--min-shared"/{f=1} f && /default=/{match($0, /[0-9]+/); print substr($0, RSTART, RLENGTH); exit}' <tree@077dbe2c>/scripts/ci/check_python_parity.py
from_config_nontest_sites	5	5	OK	git -C /home/rjalves/git/cobre grep -l -F 'StudyParams::from_config(' 077dbe2c287b92c2d0c6a12d5f67c2c0cb83c39c -- 'crates/*/src/*.rs' | grep -v 'tests\.rs' | while read -r spec; do git -C /home/rjalves/git/cobre show "$spec" | awk '/^#\[cfg\(test\)\]/{exit} /StudyParams::from_config\(/ && $0 !~ /^[[:space:]]*\/\// {n++} END{print n+0}'; done | awk '{s+=$1} END{print s+0}'
cli_test_binaries	14	14	OK	ls <tree@077dbe2c>/crates/cobre-cli/tests/*.rs | wc -l
cli_binary_test_fns	66	66	OK	grep -rh '#\[test\]' <tree@077dbe2c>/crates/cobre-cli/tests | wc -l
cli_inline_test_fns	170	170	OK	grep -rh '#\[test\]' <tree@077dbe2c>/crates/cobre-cli/src | wc -l
py_pytest_files	37	37	OK	ls <tree@077dbe2c>/crates/cobre-python/tests/*.py | wc -l
py_pytest_test_fns	218	218	OK	grep -rhE '^[[:space:]]*def test_' <tree@077dbe2c>/crates/cobre-python/tests/*.py | wc -l
py_pytest_lines	7305	7305	OK	cat <tree@077dbe2c>/crates/cobre-python/tests/*.py | wc -l
py_rust_tests	19	19	OK	grep -rh '#\[test\]' <tree@077dbe2c>/crates/cobre-python/src/*.rs | wc -l
facade_lib_lines	2	2	OK	wc -l < <tree@077dbe2c>/crates/cobre/src/lib.rs
facade_dependencies_sections	0	0	OK	grep -c '^\[dependencies\]' <tree@077dbe2c>/crates/cobre/Cargo.toml
anchor_probe_checked	251		DRIFT	python3 /home/rjalves/git/cobre/plans/architecture-debt-audit/tools/check-anchors.py 'INGEST ANCHOR PROBE — cli-python (2026-09, baseline)' --register /home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/anchor-probe.md --baseline 077dbe2c287b92c2d0c6a12d5f67c2c0cb83c39c --json | python3 -c 'import json,sys; print(json.load(sys.stdin)["checked"])'
anchor_probe_failing	0		DRIFT	python3 /home/rjalves/git/cobre/plans/architecture-debt-audit/tools/check-anchors.py 'INGEST ANCHOR PROBE — cli-python (2026-09, baseline)' --register /home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/anchor-probe.md --baseline 077dbe2c287b92c2d0c6a12d5f67c2c0cb83c39c --json | python3 -c 'import json,sys; print(len(json.load(sys.stdin)["failures"]))'
candidates_received	76	76	OK	python3 -c 'import json; print(len(json.load(open("/home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/verdicts.json"))["verdicts"]))'
candidates_defended	70	70	OK	python3 -c 'import json; print(sum(1 for e in json.load(open("/home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/verdicts.json"))["verdicts"].values() if e["disposition"] == "defended"))'
candidates_confirmed	50	50	OK	python3 -c 'import json; print(sum(1 for e in json.load(open("/home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/verdicts.json"))["verdicts"].values() if e["verdict"] == "confirmed"))'
candidates_dismissed	20	20	OK	python3 -c 'import json; print(sum(1 for e in json.load(open("/home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/verdicts.json"))["verdicts"].values() if e["verdict"] == "dismissed"))'
candidates_dup_of	6	6	OK	python3 -c 'import json; print(sum(1 for e in json.load(open("/home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/verdicts.json"))["verdicts"].values() if e["disposition"] == "dup-of"))'
minted_ids	40	40	OK	python3 -c 'import json; print(len(json.load(open("/home/rjalves/git/cobre/plans/architecture-debt-audit/stations/cli-python/calibration.json"))["assigned"]))'
py_cargo_check	0	0	OK	cargo check --manifest-path crates/cobre-python/Cargo.toml (no RUSTFLAGS)
ci_cargo_test_steps	1	1	OK	grep -c 'cargo test --manifest-path crates/cobre-python/Cargo.toml' <tree@077dbe2c>/.github/workflows/ci.yml
workflows_running_py_rust_tests	1	1	OK	grep -lE '(cargo (test|nextest)|nextest run).*cobre-python' <tree@077dbe2c>/.github/workflows/*.yml | wc -l
ci_python_job_maturin	1	1	OK	grep -q 'maturin develop' <tree@077dbe2c>/.github/workflows/ci.yml && echo 1 || echo 0
ci_python_job_pytest	1	1	OK	grep -q 'pytest crates/cobre-python/tests' <tree@077dbe2c>/.github/workflows/ci.yml && echo 1 || echo 0
ci_python_job_requires_cli_binary	1	1	OK	grep -q -- '--require-cli-binary' <tree@077dbe2c>/.github/workflows/ci.yml && echo 1 || echo 0
